district_key,state,district_name,unit_key,unit_label,first_year,last_year,is_coverage_gap
Jammu And Kashmir:Bandipora,Jammu And Kashmir,Bandipora,Jammu And Kashmir:Bandipora,Bandipora,2013,2024,False
Jammu And Kashmir:Baramulla,Jammu And Kashmir,Baramulla,Jammu And Kashmir:Baramulla,Baramulla,2013,2024,False
Jammu And Kashmir:Budgam,Jammu And Kashmir,Budgam,Jammu And Kashmir:Budgam,Budgam,2013,2024,False
Jammu And Kashmir:Doda,Jammu And Kashmir,Doda,Jammu And Kashmir:Doda,Doda,2013,2024,False
Jammu And Kashmir:Ganderbal,Jammu And Kashmir,Ganderbal,Jammu And Kashmir:Ganderbal,Ganderbal,2013,2024,False
Jammu And Kashmir:Jammu,Jammu And Kashmir,Jammu,Jammu And Kashmir:Jammu,Jammu,2013,2024,False
Jammu And Kashmir:Kathua,Jammu And Kashmir,Kathua,Jammu And Kashmir:Kathua,Kathua,2013,2024,False
Jammu And Kashmir:Kishtwar,Jammu And Kashmir,Kishtwar,Jammu And Kashmir:Kishtwar,Kishtwar,2013,2024,False
Jammu And Kashmir:Kulgam,Jammu And Kashmir,Kulgam,Jammu And Kashmir:Kulgam,Kulgam,2013,2024,False
Jammu And Kashmir:Kupwara,Jammu And Kashmir,Kupwara,Jammu And Kashmir:Kupwara,Kupwara,2014,2024,True
Jammu And Kashmir:Poonch,Jammu And Kashmir,Poonch,Jammu And Kashmir:Poonch,Poonch,2013,2024,False
Jammu And Kashmir:Pulwama,Jammu And Kashmir,Pulwama,Jammu And Kashmir:Pulwama,Pulwama,2013,2024,False
Jammu And Kashmir:Rajouri,Jammu And Kashmir,Rajouri,Jammu And Kashmir:Rajouri,Rajouri,2013,2024,False
Jammu And Kashmir:Ramban,Jammu And Kashmir,Ramban,Jammu And Kashmir:Ramban,Ramban,2013,2024,False
Jammu And Kashmir:Reasi,Jammu And Kashmir,Reasi,Jammu And Kashmir:Reasi,Reasi,2013,2024,False
Jammu And Kashmir:Samba,Jammu And Kashmir,Samba,Jammu And Kashmir:Samba,Samba,2013,2024,False
Jammu And Kashmir:Shopian,Jammu And Kashmir,Shopian,Jammu And Kashmir:Shopian,Shopian,2013,2024,False
Jammu And Kashmir:Srinagar,Jammu And Kashmir,Srinagar,Jammu And Kashmir:Srinagar,Srinagar,2013,2024,False
Jammu And Kashmir:Udhampur,Jammu And Kashmir,Udhampur,Jammu And Kashmir:Udhampur,Udhampur,2013,2024,False
Jharkhand:Bokaro,Jharkhand,Bokaro,Jharkhand:Bokaro,Bokaro,2013,2024,False
Jharkhand:Chatra,Jharkhand,Chatra,Jharkhand:Chatra,Chatra,2013,2024,False
Jharkhand:Deoghar,Jharkhand,Deoghar,Jharkhand:Deoghar,Deoghar,2013,2024,False
Jharkhand:Dhanbad,Jharkhand,Dhanbad,Jharkhand:Dhanbad,Dhanbad,2013,2024,False
Jharkhand:Dumka,Jharkhand,Dumka,Jharkhand:Dumka,Dumka,2013,2024,False
Jharkhand:East Singhbum,Jharkhand,East Singhbum,Jharkhand:East Singhbum,East Singhbum,2013,2024,False
Jharkhand:Garhwa,Jharkhand,Garhwa,Jharkhand:Garhwa,Garhwa,2013,2024,False
Jharkhand:Giridih,Jharkhand,Giridih,Jharkhand:Giridih,Giridih,2013,2024,False
Jharkhand:Godda,Jharkhand,Godda,Jharkhand:Godda,Godda,2013,2024,False
Jharkhand:Gumla,Jharkhand,Gumla,Jharkhand:Gumla,Gumla,2013,2024,False
Jharkhand:Hazaribagh,Jharkhand,Hazaribagh,Jharkhand:Hazaribagh,Hazaribagh,2013,2024,False
Jharkhand:Jamtara,Jharkhand,Jamtara,Jharkhand:Jamtara,Jamtara,2013,2024,False
Jharkhand:Khunti,Jharkhand,Khunti,Jharkhand:Khunti,Khunti,2013,2024,False
Jharkhand:Koderma,Jharkhand,Koderma,Jharkhand:Koderma,Koderma,2013,2024,False
Jharkhand:Latehar,Jharkhand,Latehar,Jharkhand:Latehar,Latehar,2013,2024,False
Jharkhand:Lohardaga,Jharkhand,Lohardaga,Jharkhand:Lohardaga,Lohardaga,2013,2024,False
Jharkhand:Pakur,Jharkhand,Pakur,Jharkhand:Pakur,Pakur,2013,2024,False
Jharkhand:Palamu,Jharkhand,Palamu,Jharkhand:Palamu,Palamu,2013,2024,False
Jharkhand:Ramgarh,Jharkhand,Ramgarh,Jharkhand:Ramgarh,Ramgarh,2013,2024,False
Jharkhand:Ranchi,Jharkhand,Ranchi,Jharkhand:Ranchi,Ranchi,2013,2024,False
Jharkhand:Sahebganj,Jharkhand,Sahebganj,Jharkhand:Sahebganj,Sahebganj,2013,2024,False
Jharkhand:Saraikela Kharsawan,Jharkhand,Saraikela Kharsawan,Jharkhand:Saraikela Kharsawan,Saraikela Kharsawan,2013,2024,False
Jharkhand:Simdega,Jharkhand,Simdega,Jharkhand:Simdega,Simdega,2013,2024,False
Jharkhand:West Singhbhum,Jharkhand,West Singhbhum,Jharkhand:West Singhbhum,West Singhbhum,2013,2024,False
Karnataka:Bagalkote,Karnataka,Bagalkote,Karnataka:Bagalkote,Bagalkote,2013,2024,False
Karnataka:Ballari,Karnataka,Ballari,Karnataka:Ballari,Ballari,2013,2024,False
Karnataka:Belagavi,Karnataka,Belagavi,Karnataka:Belagavi,Belagavi,2013,2024,False
Karnataka:Bengaluru Rural,Karnataka,Bengaluru Rural,Karnataka:Bengaluru Rural,Bengaluru Rural,2013,2024,False
Karnataka:Bengaluru South,Karnataka,Bengaluru South,Karnataka:Bengaluru South,Bengaluru South,2013,2024,False
Karnataka:Bengaluru Urban,Karnataka,Bengaluru Urban,Karnataka:Bengaluru Urban,Bengaluru Urban,2013,2024,False
Karnataka:Bidar,Karnataka,Bidar,Karnataka:Bidar,Bidar,2013,2024,False
Karnataka:Chamarajanagar,Karnataka,Chamarajanagar,Karnataka:Chamarajanagar,Chamarajanagar,2013,2024,False
Karnataka:Chikkaballapura,Karnataka,Chikkaballapura,Karnataka:Chikkaballapura,Chikkaballapura,2013,2024,False
Karnataka:Chikkamagaluru,Karnataka,Chikkamagaluru,Karnataka:Chikkamagaluru,Chikkamagaluru,2013,2024,False
Karnataka:Chitradurga,Karnataka,Chitradurga,Karnataka:Chitradurga,Chitradurga,2013,2024,False
Karnataka:Dakshina Kannada,Karnataka,Dakshina Kannada,Karnataka:Dakshina Kannada,Dakshina Kannada,2013,2024,False
Karnataka:Davanagere,Karnataka,Davanagere,Karnataka:Davanagere,Davanagere,2013,2024,False
Karnataka:Dharwad,Karnataka,Dharwad,Karnataka:Dharwad,Dharwad,2013,2024,False
Karnataka:Gadag,Karnataka,Gadag,Karnataka:Gadag,Gadag,2013,2024,False
Karnataka:Hassan,Karnataka,Hassan,Karnataka:Hassan,Hassan,2013,2024,False
Karnataka:Haveri,Karnataka,Haveri,Karnataka:Haveri,Haveri,2013,2024,False
Karnataka:Kalaburagi,Karnataka,Kalaburagi,Karnataka:Kalaburagi,Kalaburagi,2013,2024,False
Karnataka:Kodagu,Karnataka,Kodagu,Karnataka:Kodagu,Kodagu,2013,2024,False
Karnataka:Kolar,Karnataka,Kolar,Karnataka:Kolar,Kolar,2013,2024,False
Karnataka:Koppal,Karnataka,Koppal,Karnataka:Koppal,Koppal,2013,2024,False
Karnataka:Mandya,Karnataka,Mandya,Karnataka:Mandya,Mandya,2013,2024,False
Karnataka:Mysuru,Karnataka,Mysuru,Karnataka:Mysuru,Mysuru,2013,2024,False
Karnataka:Raichur,Karnataka,Raichur,Karnataka:Raichur,Raichur,2013,2024,False
Karnataka:Shivamogga,Karnataka,Shivamogga,Karnataka:Shivamogga,Shivamogga,2013,2024,False
Karnataka:Tumakuru,Karnataka,Tumakuru,Karnataka:Tumakuru,Tumakuru,2013,2024,False
Karnataka:Udupi,Karnataka,Udupi,Karnataka:Udupi,Udupi,2013,2024,False
Karnataka:Uttara Kannada,Karnataka,Uttara Kannada,Karnataka:Uttara Kannada,Uttara Kannada,2013,2024,False
Karnataka:Vijayanagara,Karnataka,Vijayanagara,Karnataka:Ballari,Ballari,2022,2024,False
Karnataka:Vijayapura,Karnataka,Vijayapura,Karnataka:Vijayapura,Vijayapura,2013,2024,False
Karnataka:Yadgir,Karnataka,Yadgir,Karnataka:Yadgir,Yadgir,2013,2024,False
Kerala:Alappuzha,Kerala,Alappuzha,Kerala:Alappuzha,Alappuzha,2013,2024,False
Kerala:Ernakulam,Kerala,Ernakulam,Kerala:Ernakulam,Ernakulam,2013,2024,False
Kerala:Idukki,Kerala,Idukki,Kerala:Idukki,Idukki,2013,2024,False
Kerala:Kannur,Kerala,Kannur,Kerala:Kannur,Kannur,2013,2024,False
Kerala:Kasaragod,Kerala,Kasaragod,Kerala:Kasaragod,Kasaragod,2013,2024,False
Kerala:Kollam,Kerala,Kollam,Kerala:Kollam,Kollam,2013,2024,False
Kerala:Kottayam,Kerala,Kottayam,Kerala:Kottayam,Kottayam,2013,2024,False
Kerala:Kozhikode,Kerala,Kozhikode,Kerala:Kozhikode,Kozhikode,2013,2024,False
Kerala:Malappuram,Kerala,Malappuram,Kerala:Malappuram,Malappuram,2013,2024,False
Kerala:Palakkad,Kerala,Palakkad,Kerala:Palakkad,Palakkad,2013,2024,False
Kerala:Pathanamthitta,Kerala,Pathanamthitta,Kerala:Pathanamthitta,Pathanamthitta,2013,2024,False
Kerala:Thiruvananthapuram,Kerala,Thiruvananthapuram,Kerala:Thiruvananthapuram,Thiruvananthapuram,2013,2024,False
Kerala:Thrissur,Kerala,Thrissur,Kerala:Thrissur,Thrissur,2013,2024,False
Kerala:Wayanad,Kerala,Wayanad,Kerala:Wayanad,Wayanad,2013,2024,False
Ladakh:Kargil,Ladakh,Kargil,Ladakh:Kargil,Kargil,2013,2024,False
Ladakh:Leh Ladakh,Ladakh,Leh Ladakh,Ladakh:Leh Ladakh,Leh Ladakh,2013,2024,False
Madhya Pradesh:Agar-Malwa,Madhya Pradesh,Agar-Malwa,Madhya Pradesh:Agar-Malwa,Agar-Malwa,2013,2024,False
Madhya Pradesh:Alirajpur,Madhya Pradesh,Alirajpur,Madhya Pradesh:Alirajpur,Alirajpur,2013,2024,False
Madhya Pradesh:Anuppur,Madhya Pradesh,Anuppur,Madhya Pradesh:Anuppur,Anuppur,2013,2024,False
Madhya Pradesh:Ashoknagar,Madhya Pradesh,Ashoknagar,Madhya Pradesh:Ashoknagar,Ashoknagar,2013,2024,False
Madhya Pradesh:Balaghat,Madhya Pradesh,Balaghat,Madhya Pradesh:Balaghat,Balaghat,2013,2024,False
Madhya Pradesh:Barwani,Madhya Pradesh,Barwani,Madhya Pradesh:Barwani,Barwani,2013,2024,False
Madhya Pradesh:Betul,Madhya Pradesh,Betul,Madhya Pradesh:Betul,Betul,2013,2024,False
Madhya Pradesh:Bhind,Madhya Pradesh,Bhind,Madhya Pradesh:Bhind,Bhind,2013,2024,False
Madhya Pradesh:Bhopal,Madhya Pradesh,Bhopal,Madhya Pradesh:Bhopal,Bhopal,2013,2024,False
Madhya Pradesh:Burhanpur,Madhya Pradesh,Burhanpur,Madhya Pradesh:Burhanpur,Burhanpur,2013,2024,False
Madhya Pradesh:Chhatarpur,Madhya Pradesh,Chhatarpur,Madhya Pradesh:Chhatarpur,Chhatarpur,2013,2024,False
Madhya Pradesh:Chhindwara,Madhya Pradesh,Chhindwara,Madhya Pradesh:Chhindwara,Chhindwara,2013,2024,False
Madhya Pradesh:Damoh,Madhya Pradesh,Damoh,Madhya Pradesh:Damoh,Damoh,2013,2024,False
Madhya Pradesh:Datia,Madhya Pradesh,Datia,Madhya Pradesh:Datia,Datia,2013,2024,False
Madhya Pradesh:Dewas,Madhya Pradesh,Dewas,Madhya Pradesh:Dewas,Dewas,2013,2024,False
Madhya Pradesh:Dhar,Madhya Pradesh,Dhar,Madhya Pradesh:Dhar,Dhar,2013,2024,False
Madhya Pradesh:Dindori,Madhya Pradesh,Dindori,Madhya Pradesh:Dindori,Dindori,2013,2024,False
Madhya Pradesh:Guna,Madhya Pradesh,Guna,Madhya Pradesh:Guna,Guna,2013,2024,False
Madhya Pradesh:Gwalior,Madhya Pradesh,Gwalior,Madhya Pradesh:Gwalior,Gwalior,2013,2024,False
Madhya Pradesh:Harda,Madhya Pradesh,Harda,Madhya Pradesh:Harda,Harda,2013,2024,False
Madhya Pradesh:Indore,Madhya Pradesh,Indore,Madhya Pradesh:Indore,Indore,2013,2024,False
Madhya Pradesh:Jabalpur,Madhya Pradesh,Jabalpur,Madhya Pradesh:Jabalpur,Jabalpur,2013,2024,False
Madhya Pradesh:Jhabua,Madhya Pradesh,Jhabua,Madhya Pradesh:Jhabua,Jhabua,2013,2024,False
Madhya Pradesh:Katni,Madhya Pradesh,Katni,Madhya Pradesh:Katni,Katni,2013,2024,False
Madhya Pradesh:Khandwa (East Nimar),Madhya Pradesh,Khandwa (East Nimar),Madhya Pradesh:Khandwa (East Nimar),Khandwa (East Nimar),2013,2024,False
Madhya Pradesh:Khargone (West Nimar),Madhya Pradesh,Khargone (West Nimar),Madhya Pradesh:Khargone (West Nimar),Khargone (West Nimar),2013,2024,False
Madhya Pradesh:Maihar,Madhya Pradesh,Maihar,Madhya Pradesh:Maihar,Satna,2024,2024,False
Madhya Pradesh:Mandla,Madhya Pradesh,Mandla,Madhya Pradesh:Mandla,Mandla,2013,2024,False
Madhya Pradesh:Mandsaur,Madhya Pradesh,Mandsaur,Madhya Pradesh:Mandsaur,Mandsaur,2013,2024,False
Madhya Pradesh:Mauganj,Madhya Pradesh,Mauganj,Madhya Pradesh:Mauganj,Rewa,2024,2024,False
Madhya Pradesh:Morena,Madhya Pradesh,Morena,Madhya Pradesh:Morena,Morena,2013,2024,False
Madhya Pradesh:Narmadapuram,Madhya Pradesh,Narmadapuram,Madhya Pradesh:Narmadapuram,Narmadapuram,2013,2024,False
Madhya Pradesh:Narsimhapur,Madhya Pradesh,Narsimhapur,Madhya Pradesh:Narsimhapur,Narsimhapur,2013,2024,False
Madhya Pradesh:Neemuch,Madhya Pradesh,Neemuch,Madhya Pradesh:Neemuch,Neemuch,2013,2024,False
Madhya Pradesh:Niwari,Madhya Pradesh,Niwari,Madhya Pradesh:Niwari,Tikamgarh,2019,2024,False
Madhya Pradesh:Pandhurna,Madhya Pradesh,Pandhurna,Madhya Pradesh:Chhindwara,Chhindwara,2024,2024,False
Madhya Pradesh:Panna,Madhya Pradesh,Panna,Madhya Pradesh:Panna,Panna,2013,2024,False
Madhya Pradesh:Raisen,Madhya Pradesh,Raisen,Madhya Pradesh:Raisen,Raisen,2013,2024,False
Madhya Pradesh:Rajgarh,Madhya Pradesh,Rajgarh,Madhya Pradesh:Rajgarh,Rajgarh,2013,2024,False
Madhya Pradesh:Ratlam,Madhya Pradesh,Ratlam,Madhya Pradesh:Ratlam,Ratlam,2013,2024,False
Madhya Pradesh:Rewa,Madhya Pradesh,Rewa,Madhya Pradesh:Mauganj,Rewa,2013,2024,False
Madhya Pradesh:Sagar,Madhya Pradesh,Sagar,Madhya Pradesh:Sagar,Sagar,2013,2024,False
Madhya Pradesh:Satna,Madhya Pradesh,Satna,Madhya Pradesh:Maihar,Satna,2013,2024,False
Madhya Pradesh:Sehore,Madhya Pradesh,Sehore,Madhya Pradesh:Sehore,Sehore,2013,2024,False
Madhya Pradesh:Seoni,Madhya Pradesh,Seoni,Madhya Pradesh:Seoni,Seoni,2013,2024,False
Madhya Pradesh:Shahdol,Madhya Pradesh,Shahdol,Madhya Pradesh:Shahdol,Shahdol,2013,2024,False
Madhya Pradesh:Shajapur,Madhya Pradesh,Shajapur,Madhya Pradesh:Shajapur,Shajapur,2013,2024,False
Madhya Pradesh:Sheopur,Madhya Pradesh,Sheopur,Madhya Pradesh:Sheopur,Sheopur,2013,2024,False
Madhya Pradesh:Shivpuri,Madhya Pradesh,Shivpuri,Madhya Pradesh:Shivpuri,Shivpuri,2013,2024,False
Madhya Pradesh:Sidhi,Madhya Pradesh,Sidhi,Madhya Pradesh:Sidhi,Sidhi,2013,2024,False
Madhya Pradesh:Singrauli,Madhya Pradesh,Singrauli,Madhya Pradesh:Singrauli,Singrauli,2013,2024,False
Madhya Pradesh:Tikamgarh,Madhya Pradesh,Tikamgarh,Madhya Pradesh:Niwari,Tikamgarh,2013,2024,False
Madhya Pradesh:Ujjain,Madhya Pradesh,Ujjain,Madhya Pradesh:Ujjain,Ujjain,2013,2024,False
Madhya Pradesh:Umaria,Madhya Pradesh,Umaria,Madhya Pradesh:Umaria,Umaria,2013,2024,False
Madhya Pradesh:Vidisha,Madhya Pradesh,Vidisha,Madhya Pradesh:Vidisha,Vidisha,2013,2024,False
Maharashtra:Ahilyanagar,Maharashtra,Ahilyanagar,Maharashtra:Ahilyanagar,Ahilyanagar,2013,2024,False
Maharashtra:Akola,Maharashtra,Akola,Maharashtra:Akola,Akola,2013,2024,False
Maharashtra:Amravati,Maharashtra,Amravati,Maharashtra:Amravati,Amravati,2013,2024,False
Maharashtra:Beed,Maharashtra,Beed,Maharashtra:Beed,Beed,2013,2024,False
Maharashtra:Bhandara,Maharashtra,Bhandara,Maharashtra:Bhandara,Bhandara,2013,2024,False
Maharashtra:Buldhana,Maharashtra,Buldhana,Maharashtra:Buldhana,Buldhana,2013,2024,False
Maharashtra:Chandrapur,Maharashtra,Chandrapur,Maharashtra:Chandrapur,Chandrapur,2013,2024,False
Maharashtra:Chhatrapati Sambhajinagar,Maharashtra,Chhatrapati Sambhajinagar,Maharashtra:Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,2013,2024,False
Maharashtra:Dharashiv,Maharashtra,Dharashiv,Maharashtra:Dharashiv,Dharashiv,2013,2024,False
Maharashtra:Dhule,Maharashtra,Dhule,Maharashtra:Dhule,Dhule,2013,2024,False
Maharashtra:Gadchiroli,Maharashtra,Gadchiroli,Maharashtra:Gadchiroli,Gadchiroli,2013,2024,False
Maharashtra:Gondia,Maharashtra,Gondia,Maharashtra:Gondia,Gondia,2013,2024,False
Maharashtra:Hingoli,Maharashtra,Hingoli,Maharashtra:Hingoli,Hingoli,2013,2024,False
Maharashtra:Jalgaon,Maharashtra,Jalgaon,Maharashtra:Jalgaon,Jalgaon,2013,2024,False
Maharashtra:Jalna,Maharashtra,Jalna,Maharashtra:Jalna,Jalna,2013,2024,False
Maharashtra:Kolhapur,Maharashtra,Kolhapur,Maharashtra:Kolhapur,Kolhapur,2013,2024,False
Maharashtra:Latur,Maharashtra,Latur,Maharashtra:Latur,Latur,2013,2024,False
Maharashtra:Mumbai Suburban,Maharashtra,Mumbai Suburban,Maharashtra:Mumbai Suburban,Mumbai Suburban,2016,2019,True
Maharashtra:Nagpur,Maharashtra,Nagpur,Maharashtra:Nagpur,Nagpur,2013,2024,False
Maharashtra:Nanded,Maharashtra,Nanded,Maharashtra:Nanded,Nanded,2013,2024,False
Maharashtra:Nandurbar,Maharashtra,Nandurbar,Maharashtra:Nandurbar,Nandurbar,2013,2024,False
Maharashtra:Nashik,Maharashtra,Nashik,Maharashtra:Nashik,Nashik,2013,2024,False
Maharashtra:Palghar,Maharashtra,Palghar,Maharashtra:Palghar,Thane,2014,2024,False
Maharashtra:Parbhani,Maharashtra,Parbhani,Maharashtra:Parbhani,Parbhani,2013,2024,False
Maharashtra:Pune,Maharashtra,Pune,Maharashtra:Pune,Pune,2013,2024,False
Maharashtra:Raigad,Maharashtra,Raigad,Maharashtra:Raigad,Raigad,2013,2024,False
Maharashtra:Ratnagiri,Maharashtra,Ratnagiri,Maharashtra:Ratnagiri,Ratnagiri,2013,2024,False
Maharashtra:Sangli,Maharashtra,Sangli,Maharashtra:Sangli,Sangli,2013,2024,False
Maharashtra:Satara,Maharashtra,Satara,Maharashtra:Satara,Satara,2013,2024,False
Maharashtra:Sindhudurg,Maharashtra,Sindhudurg,Maharashtra:Sindhudurg,Sindhudurg,2013,2024,False
Maharashtra:Solapur,Maharashtra,Solapur,Maharashtra:Solapur,Solapur,2013,2024,False
Maharashtra:Thane,Maharashtra,Thane,Maharashtra:Palghar,Thane,2013,2024,False
Maharashtra:Wardha,Maharashtra,Wardha,Maharashtra:Wardha,Wardha,2013,2024,False
Maharashtra:Washim,Maharashtra,Washim,Maharashtra:Washim,Washim,2013,2024,False
Maharashtra:Yavatmal,Maharashtra,Yavatmal,Maharashtra:Yavatmal,Yavatmal,2013,2024,False
Manipur:Bishnupur,Manipur,Bishnupur,Manipur:Bishnupur,Bishnupur,2013,2023,False
Manipur:Chandel,Manipur,Chandel,Manipur:Chandel,Chandel,2013,2023,False
Manipur:Churachandpur,Manipur,Churachandpur,Manipur:Churachandpur,Churachandpur,2013,2023,False
Manipur:Imphal East,Manipur,Imphal East,Manipur:Imphal East,Imphal East,2013,2023,False
Manipur:Imphal West,Manipur,Imphal West,Manipur:Imphal West,Imphal West,2013,2023,False
Manipur:Senapati,Manipur,Senapati,Manipur:Senapati,Senapati,2013,2023,False
Manipur:Tamenglong,Manipur,Tamenglong,Manipur:Tamenglong,Tamenglong,2013,2023,False
Manipur:Thoubal,Manipur,Thoubal,Manipur:Thoubal,Thoubal,2013,2023,False
Manipur:Ukhrul,Manipur,Ukhrul,Manipur:Ukhrul,Ukhrul,2013,2023,False
Meghalaya:Eastern West Khasi Hills,Meghalaya,Eastern West Khasi Hills,Meghalaya:Eastern West Khasi Hills,West Khasi Hills,2023,2023,False
Meghalaya:East Garo Hills,Meghalaya,East Garo Hills,Meghalaya:East Garo Hills,East Garo Hills,2013,2023,False
Meghalaya:East Jaintia Hills,Meghalaya,East Jaintia Hills,Meghalaya:East Jaintia Hills,East Jaintia Hills,2013,2023,False
Meghalaya:East Khasi Hills,Meghalaya,East Khasi Hills,Meghalaya:East Khasi Hills,East Khasi Hills,2013,2023,False
Meghalaya:North Garo Hills,Meghalaya,North Garo Hills,Meghalaya:North Garo Hills,North Garo Hills,2013,2023,False
Meghalaya:Ri Bhoi,Meghalaya,Ri Bhoi,Meghalaya:Ri Bhoi,Ri Bhoi,2013,2023,False
Meghalaya:South Garo Hills,Meghalaya,South Garo Hills,Meghalaya:South Garo Hills,South Garo Hills,2013,2023,False
Meghalaya:South West Garo Hills,Meghalaya,South West Garo Hills,Meghalaya:South West Garo Hills,South West Garo Hills,2013,2023,False
Meghalaya:South West Khasi Hills,Meghalaya,South West Khasi Hills,Meghalaya:South West Khasi Hills,South West Khasi Hills,2013,2023,False
Meghalaya:West Garo Hills,Meghalaya,West Garo Hills,Meghalaya:West Garo Hills,West Garo Hills,2013,2023,False
Meghalaya:West Jaintia Hills,Meghalaya,West Jaintia Hills,Meghalaya:West Jaintia Hills,West Jaintia Hills,2013,2023,False
Meghalaya:West Khasi Hills,Meghalaya,West Khasi Hills,Meghalaya:Eastern West Khasi Hills,West Khasi Hills,2013,2023,False
Mizoram:Aizawl,Mizoram,Aizawl,Mizoram:Aizawl,Aizawl + Champhai,2013,2024,False
Mizoram:Champhai,Mizoram,Champhai,Mizoram:Aizawl,Aizawl + Champhai,2013,2024,False
Mizoram:Hnahthial,Mizoram,Hnahthial,Mizoram:Hnahthial,Lunglei,2020,2024,False
Mizoram:Khawzawl,Mizoram,Khawzawl,Mizoram:Aizawl,Aizawl + Champhai,2020,2024,False
Mizoram:Kolasib,Mizoram,Kolasib,Mizoram:Kolasib,Kolasib,2013,2024,False
Mizoram:Lawngtlai,Mizoram,Lawngtlai,Mizoram:Lawngtlai,Lawngtlai,2013,2024,False
Mizoram:Lunglei,Mizoram,Lunglei,Mizoram:Hnahthial,Lunglei,2013,2024,False
Mizoram:Mamit,Mizoram,Mamit,Mizoram:Mamit,Mamit,2013,2024,False
Mizoram:Saitual,Mizoram,Saitual,Mizoram:Aizawl,Aizawl + Champhai,2020,2024,False
Mizoram:Serchhip,Mizoram,Serchhip,Mizoram:Serchhip,Serchhip,2013,2024,False
Mizoram:Siaha,Mizoram,Siaha,Mizoram:Siaha,Siaha,2013,2024,False
Nagaland:Chumoukedima,Nagaland,Chumoukedima,Nagaland:Chumoukedima,Dimapur,2022,2024,False
Nagaland:Dimapur,Nagaland,Dimapur,Nagaland:Chumoukedima,Dimapur,2013,2024,False
Nagaland:Kiphire,Nagaland,Kiphire,Nagaland:Kiphire,Kiphire + Tuensang,2013,2024,False
Nagaland:Kohima,Nagaland,Kohima,Nagaland:Kohima,Kohima,2013,2024,False
Nagaland:Longleng,Nagaland,Longleng,Nagaland:Longleng,Longleng,2013,2024,False
Nagaland:Mokokchung,Nagaland,Mokokchung,Nagaland:Mokokchung,Mokokchung,2013,2024,False
Nagaland:Mon,Nagaland,Mon,Nagaland:Mon,Mon,2013,2024,False
Nagaland:Niuland,Nagaland,Niuland,Nagaland:Chumoukedima,Dimapur,2022,2024,False
Nagaland:Noklak,Nagaland,Noklak,Nagaland:Kiphire,Kiphire + Tuensang,2021,2024,False
Nagaland:Peren,Nagaland,Peren,Nagaland:Peren,Peren,2013,2024,False
Nagaland:Phek,Nagaland,Phek,Nagaland:Phek,Phek,2013,2024,False
Nagaland:Shamator,Nagaland,Shamator,Nagaland:Kiphire,Kiphire + Tuensang,2022,2024,False
Nagaland:Tseminyu,Nagaland,Tseminyu,Nagaland:Kohima,Kohima,2022,2024,False
Nagaland:Tuensang,Nagaland,Tuensang,Nagaland:Kiphire,Kiphire + Tuensang,2013,2024,False
Nagaland:Wokha,Nagaland,Wokha,Nagaland:Wokha,Wokha,2013,2024,False
Nagaland:Zunheboto,Nagaland,Zunheboto,Nagaland:Zunheboto,Zunheboto,2013,2024,False
Odisha:Angul,Odisha,Angul,Odisha:Angul,Angul,2013,2024,False
Odisha:Balangir,Odisha,Balangir,Odisha:Balangir,Balangir,2013,2024,False
Odisha:Balasore,Odisha,Balasore,Odisha:Balasore,Balasore,2013,2024,False
Odisha:Bargarh,Odisha,Bargarh,Odisha:Bargarh,Bargarh,2013,2024,False
Odisha:Bhadrak,Odisha,Bhadrak,Odisha:Bhadrak,Bhadrak,2013,2024,False
Odisha:Boudh,Odisha,Boudh,Odisha:Boudh,Boudh,2013,2024,False
Odisha:Cuttack,Odisha,Cuttack,Odisha:Cuttack,Cuttack,2013,2024,False
Odisha:Deogarh,Odisha,Deogarh,Odisha:Deogarh,Deogarh,2013,2024,False
Odisha:Dhenkanal,Odisha,Dhenkanal,Odisha:Dhenkanal,Dhenkanal,2013,2024,False
Odisha:Gajapati,Odisha,Gajapati,Odisha:Gajapati,Gajapati,2013,2024,False
Odisha:Ganjam,Odisha,Ganjam,Odisha:Ganjam,Ganjam,2013,2024,False
Odisha:Jagatsinghapur,Odisha,Jagatsinghapur,Odisha:Jagatsinghapur,Jagatsinghapur,2013,2024,False
Odisha:Jajpur,Odisha,Jajpur,Odisha:Jajpur,Jajpur,2013,2024,False
Odisha:Jharsuguda,Odisha,Jharsuguda,Odisha:Jharsuguda,Jharsuguda,2013,2024,False
Odisha:Kalahandi,Odisha,Kalahandi,Odisha:Kalahandi,Kalahandi,2013,2024,False
Odisha:Kandhamal,Odisha,Kandhamal,Odisha:Kandhamal,Kandhamal,2013,2024,False
Odisha:Kendrapara,Odisha,Kendrapara,Odisha:Kendrapara,Kendrapara,2013,2024,False
Odisha:Keonjhar,Odisha,Keonjhar,Odisha:Keonjhar,Keonjhar,2013,2024,False
Odisha:Khordha,Odisha,Khordha,Odisha:Khordha,Khordha,2013,2024,False
Odisha:Koraput,Odisha,Koraput,Odisha:Koraput,Koraput,2013,2024,False
Odisha:Malkangiri,Odisha,Malkangiri,Odisha:Malkangiri,Malkangiri,2013,2024,False
Odisha:Mayurbhanj,Odisha,Mayurbhanj,Odisha:Mayurbhanj,Mayurbhanj,2013,2024,False
Odisha:Nabarangpur,Odisha,Nabarangpur,Odisha:Nabarangpur,Nabarangpur,2013,2024,False
